matric_number,full_name,email,department,level
24/CSC/001,Chukwuemeka Okafor,chukwuemeka.okafor.csc001@stu.maranatha.edu.ng,CSC,200
24/CSC/002,Ngozi Abubakar,ngozi.abubakar.csc002@stu.maranatha.edu.ng,CSC,200
24/CSC/003,Tunde Adeyemi,tunde.adeyemi.csc003@stu.maranatha.edu.ng,CSC,200
23/CSC/004,Halima Nwosu,halima.nwosu.csc004@stu.maranatha.edu.ng,CSC,300
23/CSC/005,Babatunde Musa,babatunde.musa.csc005@stu.maranatha.edu.ng,CSC,300
23/CSC/006,Zainab Eze,zainab.eze.csc006@stu.maranatha.edu.ng,CSC,300
23/CSC/007,Obinna Adebayo,obinna.adebayo.csc007@stu.maranatha.edu.ng,CSC,300
22/CSC/008,Folake Bello,folake.bello.csc008@stu.maranatha.edu.ng,CSC,400
22/CSC/009,Femi Nnaji,femi.nnaji.csc009@stu.maranatha.edu.ng,CSC,400
22/CSC/010,Maryam Suleiman,maryam.suleiman.csc010@stu.maranatha.edu.ng,CSC,400
24/CYB/001,Damilola Obiora,damilola.obiora.cyb001@stu.maranatha.edu.ng,CYB,200
24/CYB/002,Adaeze Fasanya,adaeze.fasanya.cyb002@stu.maranatha.edu.ng,CYB,200
24/CYB/003,Olumide Ogunwale,olumide.ogunwale.cyb003@stu.maranatha.edu.ng,CYB,200
23/CYB/004,Funmilayo Usman,funmilayo.usman.cyb004@stu.maranatha.edu.ng,CYB,300
23/CYB/005,Segun Adeleke,segun.adeleke.cyb005@stu.maranatha.edu.ng,CYB,300
23/CYB/006,Ifeoma Nwofor,ifeoma.nwofor.cyb006@stu.maranatha.edu.ng,CYB,300
23/CYB/007,Chinedu Aliyu,chinedu.aliyu.cyb007@stu.maranatha.edu.ng,CYB,300
22/CYB/008,Blessing Olatunji,blessing.olatunji.cyb008@stu.maranatha.edu.ng,CYB,400
22/CYB/009,Adekunle Onyekachi,adekunle.onyekachi.cyb009@stu.maranatha.edu.ng,CYB,400
22/CYB/010,Eniola Okonkwo,eniola.okonkwo.cyb010@stu.maranatha.edu.ng,CYB,400
24/SEN/001,Yusuf Nwachukwu,yusuf.nwachukwu.sen001@stu.maranatha.edu.ng,SEN,200
24/SEN/002,Grace Obi,grace.obi.sen002@stu.maranatha.edu.ng,SEN,200
24/SEN/003,Olamide Ogundipe,olamide.ogundipe.sen003@stu.maranatha.edu.ng,SEN,200
23/SEN/004,Omolara Bamidele,omolara.bamidele.sen004@stu.maranatha.edu.ng,SEN,300
23/SEN/005,Ebuka Onuoha,ebuka.onuoha.sen005@stu.maranatha.edu.ng,SEN,300
23/SEN/006,Fatima Adeyinka,fatima.adeyinka.sen006@stu.maranatha.edu.ng,SEN,300
23/SEN/007,Ibrahim Chukwuma,ibrahim.chukwuma.sen007@stu.maranatha.edu.ng,SEN,300
22/SEN/008,Amaka Lawal,amaka.lawal.sen008@stu.maranatha.edu.ng,SEN,400
22/SEN/009,Emeka Adeoti,emeka.adeoti.sen009@stu.maranatha.edu.ng,SEN,400
22/SEN/010,Aisha Mohammed,aisha.mohammed.sen010@stu.maranatha.edu.ng,SEN,400
24/CPE/001,Uche Okoro,uche.okoro.cpe001@stu.maranatha.edu.ng,CPE,200
24/CPE/002,Yetunde Babangida,yetunde.babangida.cpe002@stu.maranatha.edu.ng,CPE,200
24/CPE/003,Adewale Ogbonna,adewale.ogbonna.cpe003@stu.maranatha.edu.ng,CPE,200
23/CPE/004,Precious Anyanwu,precious.anyanwu.cpe004@stu.maranatha.edu.ng,CPE,300
23/CPE/005,Chijioke Ejiofor,chijioke.ejiofor.cpe005@stu.maranatha.edu.ng,CPE,300
23/CPE/006,Chidinma Akpan,chidinma.akpan.cpe006@stu.maranatha.edu.ng,CPE,300
23/CPE/007,Kelechi Bassey,kelechi.bassey.cpe007@stu.maranatha.edu.ng,CPE,300
22/CPE/008,Oluwabunmi Idris,oluwabunmi.idris.cpe008@stu.maranatha.edu.ng,CPE,400
22/CPE/009,Nnamdi Abdullahi,nnamdi.abdullahi.cpe009@stu.maranatha.edu.ng,CPE,400
22/CPE/010,Nkechi Tijani,nkechi.tijani.cpe010@stu.maranatha.edu.ng,CPE,400
24/MTH/001,Abiodun Olaleye,abiodun.olaleye.mth001@stu.maranatha.edu.ng,MTH,200
24/MTH/002,Temitope Nwankwo,temitope.nwankwo.mth002@stu.maranatha.edu.ng,MTH,200
24/MTH/003,Tochukwu Omotosho,tochukwu.omotosho.mth003@stu.maranatha.edu.ng,MTH,200
23/MTH/004,Chiamaka Salami,chiamaka.salami.mth004@stu.maranatha.edu.ng,MTH,300
23/MTH/005,Olusegun Duru,olusegun.duru.mth005@stu.maranatha.edu.ng,MTH,300
23/MTH/006,Khadija Egbuna,khadija.egbuna.mth006@stu.maranatha.edu.ng,MTH,300
23/MTH/007,Ikenna Agu,ikenna.agu.mth007@stu.maranatha.edu.ng,MTH,300
22/MTH/008,Ifunanya Nweke,ifunanya.nweke.mth008@stu.maranatha.edu.ng,MTH,400
22/MTH/009,Obi Oyelaran,obi.oyelaran.mth009@stu.maranatha.edu.ng,MTH,400
22/MTH/010,Nneoma Okechukwu,nneoma.okechukwu.mth010@stu.maranatha.edu.ng,MTH,400
24/BCH/001,Chukwuemeka Abubakar,chukwuemeka.abubakar.bch001@stu.maranatha.edu.ng,BCH,200
